item,concern,status,exact_correction,thesis_locator,evidence_artifact
I-3,Reference-convergence orders are unassigned,Addressed in the revised thesis,"TDSE and grid-QCLE time and spatial/grid ladders are separated; orders are shown only after the declared noise, monotonicity, and asymptotic guards pass.","Section 6.7, printed pp. 101--110; Tables 6.12--6.14; Appendix F.1, printed pp. 145--147.",final_reviewer_closure/reference_tdse/tdse_three_level.csv; reference_grid_qcle/qcle_three_level.csv
I-4,MIDPOINT central value at P0=20 absent,Addressed in the revised thesis,"The MIDPOINT P_init=20 central values are reported from seeds 11, 29, 47, and 73 with mean, sample SD, spread, and Student-t interval.","Section 6.5, printed pp. 93--97; Table 6.9 and Figure 6.3; corresponding dt=0.25 rows of Table G.4, printed pp. 158--160.",final_reviewer_closure/replication/four_seed_values.csv; four_seed_summary.csv
I-5,Identical-support pass incompletely reported,Addressed in the revised thesis,"The identical-support KDE/GP comparison uses the same PBME cloud, weights, bandwidth, normalization, and grid; only the declared E1 value-reconstruction gate is evaluated.","Section 6.3, printed pp. 86--89; Table 6.6, printed p. 88.",final_reviewer_closure/preserved_evidence/kde_gp_baseline.csv
I-6,41 retained figures have no complete provenance,Addressed in the revised thesis,"Every retained figure now defines the plotted quantity, normalization, seed aggregation, uncertainty display, sign convention, and evidentiary limit in its caption.","Figures 6.1--6.5, printed pp. 87, 88, 99, 102, and 115.",final_reviewer_closure/figures/FIGURE_DATA_CROSSWALK.csv and the five hashed source CSV entries named there
I-7,Figure-dependent descriptions not interpretable,Addressed in the revised thesis,All qualitative legacy comparisons were removed; the five retained figures are paired with quantitative tables and explicit metrics.,"Sections 6.2--6.8, printed pp. 84--115; Figures 6.1--6.5 and Tables 6.2--6.15.",final_reviewer_closure/figures/FIGURE_DATA_CROSSWALK.csv; table_data_crosswalk.csv
I-8,Plotting thresholds undefined,Addressed in the revised thesis,"Every acceptance/display threshold is stated numerically at use: the E1 gate, absolute-plus-relative order floor, edge-mass criterion, conservative effective-exponent screen, and tail-mass rule. The p<=6 screen is explicitly not a theoretical method order.","Sections 5.9.5 and 6.3--6.7, printed pp. 80 and 86--110; Tables 6.6--6.7 and 6.11--6.14.",final_reviewer_closure/preserved_evidence/kde_gp_baseline.csv; timestep/timestep_run_by_run.csv; reference_tdse/tdse_three_level.csv; reference_grid_qcle/qcle_three_level.csv; tail_sensitivity/threshold_sweep.csv
I-9,Diagnostics divide by undocumented |y0| tail,Addressed in the revised thesis,"The tail analysis reports threshold, excluded point fraction, excluded absolute physical mass, normalization, energy, and signed/absolute ESS; no nontrivial negligible-mass plateau is claimed.","Section 6.6, printed pp. 98--102; Table 6.11 and Figure 6.4; Appendix G, Tables G.5--G.6, printed pp. 162--166.",final_reviewer_closure/tail_sensitivity/y0_distribution_paired.csv; threshold_sweep.csv
I-10,'Applied source after stabilization' unspecified,Addressed in the revised thesis,The reported MIDPOINT branch applies Q_applied=Q_raw: apply_q_clip=false and omega_clip_quantile=null; clipped and renormalized alternatives are not substituted.,"Sections 5.2 and 5.4.2, printed pp. 67--74; Section 6.6, Table 6.10, printed p. 98.",Dynamics.py; final_reviewer_closure/FINAL_RUN_MANIFEST.json; preserved_evidence/raw_conservation.csv
I-11,'Physically implausible' analytic observables not reported,Addressed in the revised thesis,The unsupported analytic-GP physical-observable assertion was removed; no uncomputed analytic-observable table or conclusion remains.,"Sections 6.8--6.9 and 7.3, printed pp. 111--118; retained physical claims are limited to Tables 6.15 and G.7--G.8.",Thesis/Thesis.tex; final_reviewer_closure/physical_comparison/paired_improvement_summary.csv
I-12,'Only weakly' undefined and conflicts with Table 6.6,Addressed in the revised thesis,"The former word 'weakly' was replaced by estimator- and momentum-specific four-cloud statistics; four clouds, not trajectories, define the independent sample size.","Section 6.5, printed pp. 93--97; Table 6.9 and Figure 6.3.",final_reviewer_closure/replication/four_seed_values.csv; four_seed_summary.csv
I-13,High-momentum agreement not quantitative,Addressed in the revised thesis,"Physical comparisons are reported as per-seed absolute errors and paired MIDPOINT-minus-PBME differences. Four-seed Student-t intervals are descriptive only, and raw per-seed sign consistency is stated explicitly.","Section 6.8, printed pp. 111--115; Table 6.15 and Figure 6.5; Appendix G, Tables G.7--G.8, printed pp. 167--168.",final_reviewer_closure/physical_comparison/density_errors_method_pair_by_seed.csv; observable_errors_method_pair_by_seed.csv; paired_improvement_summary.csv
I-14,Exact reference settings outside the thesis,Addressed in the revised thesis,The thesis prints every reference setting and now gives an explicit finest-grid tolerance and usable Richardson-style estimate. The P_init=20 grid-QCLE case is classified only as a numerical-sensitivity reference because six of eight observables miss tolerance.,"Section 6.7, printed pp. 101--110; Tables 6.12--6.14; Appendix F.1--F.3, printed pp. 145--149.",final_reviewer_closure/reference_settings_by_method_and_momentum.csv; reference_tdse/tdse_three_level.csv; reference_grid_qcle/qcle_three_level.csv; reference_grid_qcle/qcle_reference_accuracy.csv
I-15,Immutable configuration / versioned record not identified,Addressed in the revised thesis,"The archive record distinguishes the final release tag, which identifies the tagged document commit, from the frozen source/evidence commit and states that the GitHub release is versioned public access, not a DOI or institutional persistent identifier.","Appendix G.5, printed p. 170; this response Availability note.",release https://github.com/sahandgit/gaussian_process_guided_mapping_quantumclassical_liouville_dynamics/releases/tag/thesis-final-2026-08-01-r3; frozen_numerical_evidence_payload.zip; frozen source/evidence commit 7b810138ef7256dc045496457929e580ff04614f; archive SHA-256 46f16f57852d7b4d8524e965475979880984b9c0a1502eb929b16fee148a20e2; checksum-index SHA-256 bdcc99d6188112ad6e006af2aa33d183ec5a94c1894b0887b99d364fb6aa6236; FINAL_RUN_MANIFEST.json; FIGURE_DATA_CROSSWALK.csv; table_data_crosswalk.csv; environment.json; README.md; CLEAN_ROOM_VERIFICATION.json
I-16,Thesis title not uniquely identified across artifact,Addressed in the revised thesis,"The exact title is 'Gaussian-Process Reconstruction of the Mapping-QCLE Excess Term: A Moving-Cloud Formulation and Failure Analysis' in the title page, PDF metadata, response heading/metadata, citation record, repository README, and release title.",Thesis title page and PDF metadata; this response title and PDF metadata; public repository/release title.,Thesis/Thesis.tex; Thesis/Thesis.pdf metadata; Reviewer_Response.tex; CITATION.cff; GitHub release metadata
M-1,Contribution not separated from known mathematical fact,Addressed in the revised thesis,The thesis explicitly says that nonidentifiability of ambient normal derivatives is known; originality is restricted to constructing and testing this application-specific product-GP/MIDPOINT chain.,"Section 7.1, printed p. 117.",Thesis/Chapter7_Conclusions.tex; cited derivative-GP and probabilistic-numerics literature
M-2,'Projected density is represented' is misleading,Addressed in the revised thesis,"The projected density is the physical target, while the tested product surrogate is not projection-enforcing; measured SEO leakage is therefore a failure diagnostic.","Sections 4.1.1--4.1.2, printed pp. 50--51; Section 6.3, printed pp. 86--89; Table 6.5 and Figure 6.2.",final_reviewer_closure/preserved_evidence/projection_leakage.csv
M-3,'Semi-discretization of the complete generator' too strong,Addressed in the revised thesis,"The method is described as one attempted moving-cloud collocation of the formal Hamiltonian and excess-source terms, not a validated semi-discretization of the complete generator.","Sections 5.2--5.4, printed pp. 67--74; Chapter 6 opening, printed p. 83; Section 7.3, printed p. 118.",Thesis/Thesis.tex; Thesis/Chapter6_VerifiedResults.tex; Thesis/Chapter7_Conclusions.tex
M-4,'Corrected method' implies correctness,Addressed in the revised thesis,"Method-level 'corrected method/evolution' language was replaced by 'MIDPOINT prototype', 'source update', or 'tested excess-source branch'.","Chapters 5--7, printed pp. 65--119.",Thesis/Thesis.tex; final_acceptance_check.py forbidden-phrase audit
M-5,'Four checks form a controlled argument' overstates,Addressed in the revised thesis,The checks are described as evidence of failure under tested settings; the thesis lists untested transferability and states that causal allocation is nonunique.,"Sections 7.2--7.5, printed pp. 117--118.",Thesis/Chapter7_Conclusions.tex; Tables 6.2--6.15
M-6,'Support refinement/convergence' used too freely,Addressed in the revised thesis,"N=500, 1000, and 2000 use independent nonnested clouds. Verdicts apply numerical-noise rejection, then physical-admissibility rejection, and only then a seed-dispersion comparison; no deterministic convergence is claimed.","Section 4.7.5, printed p. 62; Section 6.5, printed pp. 93--97; Table 6.8.",final_reviewer_closure/support/independent_cloud_summary.csv; support/cloud_size_verdict_audit.csv
M-7,l2=0.01 control does not globally rule out regularization,Addressed in the revised thesis,The 0.01 result is restricted to its pilot policy and tested cells; all three regularizations are compared without claiming that regularization globally cures instability.,"Section 4.7.5, printed p. 62; Section 6.2, printed pp. 84--86; Tables 6.2--6.4 and Figure 6.1.",final_reviewer_closure/manufactured/manufactured_complete.csv; manufactured_summary.csv
M-8,Formal second order is not demonstrated order,Addressed in the revised thesis,The formal statement is restricted to a smooth fixed-representation semi-discrete midpoint system; moving-support refit and safe-profile assumptions are not established. Neither PBME nor MIDPOINT receives an observed production order unless both numerical-noise and pooled seed-dispersion guards pass.,"Sections 5.5 and 5.9.5, printed pp. 75 and 80; Section 6.4, printed pp. 89--93; Table 6.7 and Table G.4.",final_reviewer_closure/timestep/timestep_run_by_run.csv
M-9,'Qualitative visualization' does not admit untraceable images,Addressed in the revised thesis,All 41 untraceable legacy figures and dependent conclusions were removed; five figures regenerated from hash-verified CSVs remain.,"Figures 6.1--6.5, printed pp. 87, 88, 99, 102, and 115.",final_reviewer_closure/figures/FIGURE_DATA_CROSSWALK.csv
M-10,Independent shape normalization conceals the failure,Addressed in the revised thesis,"Unit-mass shape comparisons are labelled shape-only and are interpreted only after raw normalization, trace, and energy. Signed central second moments are explicitly defined and negative values are physical-admissibility failures, not variances.","Section 6.6, printed pp. 98--102; Table 6.10 and Figure 6.3; Section 6.8, printed pp. 111--115.",final_reviewer_closure/preserved_evidence/raw_conservation.csv; physical_comparison/paired_improvement_summary.csv
M-11,'Less than ~1% per step' reads as a pointwise bound,Addressed in the revised thesis,"The thesis now states explicitly that a ratio of global RMS norms is a global diagnostic, not a pointwise per-step bound; the former less-than-one-percent wording is not used.","Section 5.9, printed p. 78.",Thesis/Thesis.tex
M-12,'Not confined to negligible-label tails' unsupported,Addressed in the revised thesis,"Tail attribution is supported only through quantile-resolved labels, threshold sweeps, excluded physical mass, normalization, energy, and ESS; no unique tail cause is claimed.","Section 6.6, printed pp. 98--102; Table 6.11 and Figure 6.4; Tables G.5--G.6, printed pp. 162--166.",final_reviewer_closure/tail_sensitivity/y0_distribution_paired.csv; threshold_sweep.csv
M-13,Self-normalized GP normalization too prominent,Addressed in the revised thesis,"Self-normalized unity is identified as tautological and excluded from conservation evidence; raw integral, trace, energy, population positivity, and signed central-second-moment admissibility are primary.","Section 6.6, printed pp. 98--102; Table 6.10 and Figure 6.3.",final_reviewer_closure/preserved_evidence/raw_conservation.csv
M-14,No explicit estimator hierarchy,Addressed in the revised thesis,"The estimator hierarchy is stated before results: raw observables/invariants, then analytic/reference errors, then internal GP diagnostics.","Section 6.1, printed pp. 83--84; Table 6.1.",final_reviewer_closure/validation_inventory.csv; table_data_crosswalk.csv
M-15,'Anchor-cloud estimator is more defensible' too strong,Addressed in the revised thesis,Neither anchor-cloud nor analytic-GP estimator is called validated in the low-signed-ESS regime; low ESS is treated as estimator unreliability.,"Sections 5.9.4 and 6.6, printed pp. 80 and 98--102; Section 7.3, printed p. 118.",final_reviewer_closure/tail_sensitivity/threshold_sweep.csv; preserved_evidence/raw_conservation.csv
M-16,Undefined proximity language for the reference benchmark,Addressed in the revised thesis,"Reference proximity is defined only by printed absolute errors. The low-momentum grid-QCLE result is not treated as a resolved accuracy standard, and the decisive conclusion relies primarily on TDSE, raw conservation, SEO projection, and replication.","Sections 6.7--6.8, printed pp. 101--115; Table 6.15; Tables G.7--G.8, printed pp. 167--168.",final_reviewer_closure/physical_comparison/density_errors_method_pair_by_seed.csv; observable_errors_method_pair_by_seed.csv
M-17,"Causation attributed to the excess update, not the discretization",Addressed in the revised thesis,"Failure is attributed to the tested nonprojected, nonconservative product-GP/MIDPOINT discretization, not to the continuum excess term itself.","Sections 7.2--7.3 and 7.6, printed pp. 117--119.",Thesis/Chapter7_Conclusions.tex; preserved_evidence/projection_leakage.csv; raw_conservation.csv
M-18,'PBME reconstruction is faithful' broader than the gate,Addressed in the revised thesis,"The identical-cloud result is limited to passing the declared E1 value-reconstruction gate and is not generalized to derivatives, propagation, or physical fidelity.","Section 6.3, printed pp. 86--89; Table 6.6, printed p. 88.",final_reviewer_closure/preserved_evidence/kde_gp_baseline.csv
M-19,Failure attribution not fully isolated,Addressed in the revised thesis,The thesis presents a compatible multi-stage failure pathway and explicitly states that the tests do not uniquely apportion causality.,"Section 7.2, printed p. 117; Section 7.3, printed p. 118.","Thesis/Chapter7_Conclusions.tex; manufactured, projection, tail, and raw-conservation CSVs"
M-20,'Reproducible basis' contradicts archive defects,Addressed in the revised thesis,Reproducibility is bounded to the versioned public GitHub release and its checksum record; the text explicitly states that no DOI or institutional persistent identifier has been assigned.,"Section 7.5, printed p. 118; Appendix G.5, printed p. 170; this response Availability note.",https://github.com/sahandgit/gaussian_process_guided_mapping_quantumclassical_liouville_dynamics/releases/tag/thesis-final-2026-08-01-r3; frozen_numerical_evidence_payload_manifest.json; CLEAN_ROOM_VERIFICATION.json
M-21,Objective broader than the tested construction,Addressed in the revised thesis,"The objective now names one product-GP/moving-cloud/explicit-MIDPOINT construction on a one-dimensional, two-state avoided-crossing benchmark.","Section 1.9, printed p. 25.",Thesis/Thesis.tex
M-22,Chapter 6 opens with the wrong decision question,Addressed in the revised thesis,Chapter 6 opens with the physical reliability question and its controlled negative answer before presenting any internal diagnostic.,"Chapter 6 opening and Section 6.1, printed pp. 83--84.",Thesis/Chapter6_VerifiedResults.tex
M-23,'Full-density representation' ambiguous,Addressed in the revised thesis,Ambiguous 'full-density representation' language is absent; the text distinguishes the projected physical target from the unprojected tested product surrogate.,"Sections 4.1.1--4.1.2, printed pp. 50--51; Section 6.3, printed pp. 86--89.",Thesis/Thesis.tex; final_reviewer_closure/preserved_evidence/projection_leakage.csv
M-24,'Selected l2 = 0.01' needs qualification,Addressed in the revised thesis,"Regularization 0.01 is called pilot-selected; complete operator tests are repeated at 1e-6, 0.01, and production 0.05 over all four N values and three seeds.","Section 4.7.5, printed p. 62; Section 6.2, printed pp. 84--86; Tables 6.2--6.4 and G.1--G.3.",final_reviewer_closure/manufactured/manufactured_complete.csv; manufactured_summary.csv
M-25,Completion counts confused with validation,Addressed in the revised thesis,"Completion counts are confined to the inventory; scientific validation is organized by physical question, controlled variation, independent realizations, and diagnostic.","Section 6.1, printed pp. 83--84; Table 6.1.",final_reviewer_closure/validation_inventory.csv
L-1,Use one method vocabulary,Addressed in the revised thesis,"One vocabulary is used: PBME baseline, MIDPOINT prototype, product-GP surrogate, excess-source update, and tested discretization; 'corrected method' is absent.","Sections 1.9, 5.1--5.4, and 6.1, printed pp. 25, 66--74, and 83--84.",Thesis/Thesis.tex; final_acceptance_check.py terminology audit
L-2,Define every estimator at first use and map it to one equation,Addressed in the revised thesis,"Population, coherence, trace, signed-cloud, source, and KDE estimators are defined once and mapped to named equations before use.","Appendix E.3.1--E.3.4, printed pp. 142--144; Eqs. (E.17)--(E.33), including the signed central moments and KDE equation.",Thesis/Thesis.tex; Observables.py; final_reviewer_closure/table_data_crosswalk.csv
L-3,Reserve evidentiary words for declared standards,Addressed in the revised thesis,"Evidentiary words are tied to declared standards: references are 'numerically controlled', independent clouds show sensitivity rather than convergence, and the method is not called validated or improved.","Abstract, printed p. i; Sections 6.4--6.9, printed pp. 89--116; Sections 7.3 and 7.6, printed pp. 118--119.",Thesis/Thesis.tex; final_acceptance_check.py claim-language audit
L-4,Correct compound-word and hyphenation defects,Addressed in the revised thesis,"The visible compounds were corrected, including 'Chapters 2--5' and 'cross-validation'; protected typography prevents line-break artefacts.","Section 1.9, printed p. 25; Section 4.7.1, printed p. 60.",Thesis/Thesis.tex; reviewer_data_audit/pdf_qa/pdf_compile_render_manifest.json
L-5,Replace vague antecedents,Addressed in the revised thesis,"Vague antecedents were replaced by named subjects, for example 'The cloud-size study in Table 6.8' and 'This conclusion applies to the tested discretization'.","Section 6.5, printed p. 93; Section 7.6, printed p. 119.",Thesis/Chapter6_VerifiedResults.tex; Thesis/Chapter7_Conclusions.tex
L-6,Compress repetitive figure narration,Addressed in the revised thesis,Repetitive legacy figure narration was removed; five compact captions carry definitions while surrounding prose states one interpretation per figure.,"Sections 6.2--6.8, printed pp. 84--115; Figures 6.1--6.5.",final_reviewer_closure/figures/FIGURE_DATA_CROSSWALK.csv
L-7,Make the response document an audit trail,Addressed in the revised thesis,"The response is now generated from a 58-row gate/item audit matrix; every row has a unique correction, exact section/page locator, and named evidence artifact.","This response, Ten acceptance gates and I/M/L sections.",reviewer_data_audit/response_item_audit.csv
