figure_index,original_line,labels,image_files,decision,manifest_id,reason,sentences_removed,original_caption
25,9330,fig:results-liou-max-p100; fig:results-liou-rel-p100; fig:results-liou-corrected-p100; fig:results-liouville-p100,Figures/liou_max_P0_100.png; Figures/liou_rel_P0_100.png; Figures/liou_rms_corrected_P0_100.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,Maximum raw residual.
26,9367,fig:results-liou-max-p40; fig:results-liou-rel-p40; fig:results-liou-corrected-p40; fig:results-liouville-p40,Figures/liou_max_P0_40.png; Figures/liou_rel_P0_40.png; Figures/liou_rms_corrected_P0_40.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,Maximum raw residual.
27,9404,fig:results-liou-max-p20; fig:results-liou-rel-p20; fig:results-liou-corrected-p20; fig:results-liouville-p20,Figures/liou_max_P0_20.png; Figures/liou_rel_P0_20.png; Figures/liou_rms_corrected_P0_20.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,Maximum raw residual.
28,9523,fig:results-Q-rms-p100; fig:results-Q-rms-p40; fig:results-Q-rms-p20; fig:results-Q-max-p100; fig:results-Q-max-p40; fig:results-Q-max-p20; fig:results-source-rms-max,Figures/Q_rms_P0_100.png; Figures/Q_rms_P0_40.png; Figures/Q_rms_P0_20.png; Figures/Q_max_P0_100.png; Figures/Q_max_P0_40.png; Figures/Q_max_P0_20.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,\(P_0=100\)
29,9658,fig:results-dtQ-p100; fig:results-dtQ-p40; fig:results-dtQ-p20; fig:results-Q-applied-p100; fig:results-Q-applied-p40; fig:results-Q-applied-p20; fig:results-source-step-applied,Figures/dtQ_rms_P0_100.png; Figures/dtQ_rms_P0_40.png; Figures/dtQ_rms_P0_20.png; Figures/Q_applied_rms_P0_100.png; Figures/Q_applied_rms_P0_40.png; Figures/Q_applied_rms_P0_20.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,"\(\Delta tQ\) RMS, \(P_0=100\)."
30,9722,fig:results-Q-relative-p100; fig:results-Q-relative-p40; fig:results-Q-relative-p20; fig:results-source-relative-update,Figures/Q_over_rho_rms_P0_100.png; Figures/Q_over_rho_rms_P0_40.png; Figures/Q_over_rho_rms_P0_20.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,\(P_0=100\).
31,9859,fig:results-source-combined-p40; fig:results-source-combined-p20; fig:results-source-weighted-combined,Figures/Q_combined_P0_40.png; Figures/Q_combined_P0_20.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,\(P_0=40\).
32,9893,fig:results-Q-rho-mean-p40; fig:results-Q-rho-mean-p20; fig:results-Q-sum-rho-p40; fig:results-Q-sum-rho-p20; fig:results-source-weighted-signed,Figures/Q_rho_mean_P0_40.png; Figures/Q_rho_mean_P0_20.png; Figures/Q_sum_rho.png; Figures/Q_sum_rho_P0_20.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,"Weighted mean, \(P_0=40\)."
33,10001,fig:results-k2-max-p100; fig:results-k2-max-p40; fig:results-k2-max-p20; fig:results-dw-rms-p100; fig:results-dw-rms-p40; fig:results-dw-rms-p20; fig:results-k2-dw-rms,Figures/fig_k2_max_P0_100.png; Figures/fig_k2_max_P0_40.png; Figures/fig_k2_max_P0_20.png; Figures/fig_dw_rms_P0_100.png; Figures/fig_dw_rms_P0_40.png; Figures/fig_dw_rms_P0_20.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,"\(k^{(2)}_{\max}\), \(P_0=100\)."
34,10145,fig:results-w-max-p100; fig:results-w-max-p40; fig:results-w-max-p20; fig:results-w-min-p100; fig:results-w-min-p40; fig:results-w-min-p20; fig:results-weight-envelope,Figures/fig_w_max_P0_100.png; Figures/fig_w_max_P0_40.png; Figures/fig_w_max_P0_20.png; Figures/fig_w_min_P0_100.png; Figures/fig_w_min_P0_40.png; Figures/fig_w_min_P0_20.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,"\(w_{\max}\), \(P_0=100\)."
35,10209,fig:results-dy-rms-p100; fig:results-dy-rms-p40; fig:results-dy-rms-p20; fig:results-dy-max-p100; fig:results-dy-max-p40; fig:results-dy-max-p20; fig:results-live-label-displacement,Figures/fig_label_dy_rms_P0_100.png; Figures/fig_label_dy_rms_P0_40.png; Figures/fig_label_dy_rms_P0_20.png; Figures/fig_label_dy_max_P0_100.png; Figures/fig_label_dy_max_P0_40.png; Figures/fig_label_dy_max_P0_20.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,"RMS displacement, \(P_0=100\)."
36,10329,fig:results-probability-drift-p100; fig:results-probability-drift-p40; fig:results-probability-drift-p20; fig:results-probability-drift,Figures/fig_label_probability_drift_P0_100.png; Figures/fig_label_probability_drift_P0_40.png; Figures/fig_label_probability_drift_P0_20.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,\(P_0=100\).
37,10522,fig:results-chi-p100; fig:results-chi-p40; fig:results-chi-p20; fig:results-label-cancellation,Figures/chi_P0_100.png; Figures/chi_P0_40.png; Figures/chi_P0_20.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,\(P_0=100\).
38,10607,fig:results-ess-y-p100; fig:results-ess-y-p40; fig:results-ess-y-p20; fig:results-ess-c-p100; fig:results-ess-c-p40; fig:results-ess-c-p20; fig:results-ensemble-ess,Figures/essf_y_P0_100.png; Figures/essf_y_P0_40.png; Figures/essf_y_P0_20.png; Figures/essf_c_P0_100.png; Figures/essf_c_P0_40.png; Figures/essf_c_P0_20.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,"Live-label ESS, \(P_0=100\)."
39,10847,fig:results-gp-norm-p20; fig:results-gp-cloud-dnorm-p20; fig:results-gp-cloud-denergy-p20; fig:results-gp-cloud-consistency-p20,Figures/norm_P0_20.png; Figures/delta_norm_P0_20.png; Figures/delta_E_P0_20.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,Analytic GP normalization.
40,10880,fig:results-gp-norm-p40; fig:results-gp-cloud-dnorm-p40; fig:results-gp-cloud-denergy-p40; fig:results-gp-cloud-consistency-p40,Figures/norm_P0_40.png; Figures/delta_norm_P0_40.png; Figures/delta_E_P0_40.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,Analytic GP normalization.
41,10913,fig:results-gp-norm-p100; fig:results-gp-cloud-dnorm-p100; fig:results-gp-cloud-denergy-p100; fig:results-gp-cloud-consistency-p100,Figures/norm_P0_100.png; Figures/delta_norm_P0_100.png; Figures/delta_E_P0_100.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,Analytic GP normalization.
